# Inputs `services/name_rules.normalize_nfc` normalises differently from OTP.
# Each line is `INPUT<TAB>WHAT-WE-PRODUCE`, both comma-separated hex.
#
# Keyed on the OUTPUT as well as the input. Keying on the input alone exempted
# a quarter of the corpus from output checking entirely: deleting the
# `previous_ccc == 0` clause from `_compose` — the whole point of that function
# — left `check.py` at exit 0, because the rows it broke were already listed
# for a different reason. `check.py` also asserts this file's row count.
#
# Rows are DEDUPED. An earlier revision listed 24 signatures twice, every one
# `1100..1117,AC00,11A7`, produced where two generators in probe.exs overlap.
# `check.py` compares deduped to deduped, so it could not see a row listed
# twice. The count in the banner below is the unique one, and is the figure
# `check.py` asserts against.
#
# ==========================================================================
#   17423 unique diverging signatures out of 72269 corpus rows.
#
#     group 1       32   composition rule (base, mark, class-zero, lower mark)
#     group 2A     616   jamo lead + non-Hangul two-part vowel
#     group 2B   15652   jamo lead + precomposed Hangul syllable
#     group 2C     126   jamo lead + bare jamo  (REVERSE direction of 2B)
#     group 2D     997   OTP deletes U+11A7 after an LV syllable or L+V pair
# ==========================================================================
#
# READ THIS BEFORE CHANGING `_compose`:
#
#   * 2C IS THE REVERSE DIRECTION FROM 2B. A fix aimed only at 2B makes 2C
#     worse. This is the trap in this artefact.
#   * 2D is PURE HANGUL — no second script involved — so do not describe the
#     gap as cross-script. It was invisible until the trailers were extended
#     down to U+11A7; they started at U+11A8.
#   * These counts are NOT the size of the gap. They are the size of the
#     intersection between the gap and this corpus. Measured exhaustively
#     rather than over the probe, groups 1, 2A and 2C are 91,200 / >=3,604 /
#     10,773 — three orders of magnitude apart from what the probe finds for
#     group 1. They looked steady across earlier widenings only because those
#     widenings moved the axis 2B feeds on and left the others alone.
#   * 2B does not converge. It diverges for 106 of 125 jamo leads (84.8%).
#
# --- what these are ---
#
# GROUP 1 -- the composition-rule gap documented in `normalize_nfc`: a base, a
# mark, any class-zero character, then a mark of lower class.
#
# GROUPS 2A-2D -- the Hangul routing gap, OpenFn/apollo#655. `_compose` sends
# any cluster containing a Hangul-class character to Python's spec NFC, and OTP
# instead composes onto the cluster lead. That is FOUR mechanisms:
#
#   2A -- a jamo lead followed by a *non-Hangul* two-part vowel (Indic,
#      Sinhala, Balinese). No Hangul syllable involved, which is why it is the
#      least obvious.
#   2B -- a jamo lead followed by a precomposed Hangul syllable, which OTP
#      decomposes because it is not the cluster lead. `U+1113 U+AC00` is
#      `1113,1100,1161` in OTP and `1113,AC00` here.
#   2C -- a jamo lead followed by bare jamo, which we compose into a syllable
#      and OTP leaves apart.
#   2D -- OTP deletes U+11A7 after an LV syllable or an L+V pair, for 100% of
#      the 399 LV syllables. We keep it.
#
# The corpus sweeps the boundary of every range in `name_rules`, plus one
# either side, generated by edges.py — a hand-picked slice never steps across
# an edge, and three rounds running that is where the surviving mutant was.
# It also sweeps the extended jamo blocks (U+A960-A97C lead,
# U+D7B0-D7C6 vowel, U+D7CB-D7FB trailing). It had zero codepoints from all
# three, so narrowing any of the `_HANGUL_*` ranges in `name_rules` left this
# harness at exit 0 while `U+A960 U+1161` went from one grapheme to two.
#
# Ordinary Korean text is unaffected: `한국어`, `안녕하세요` and `환자 등록` all
# round-trip. But 2D is pure Hangul, so do not describe the gap as cross-script.
#
# If you have fixed a group, delete its rows and re-run check.py.
# --- group 1: composition rule (32 rows) ---
41,302,200C,323	1EAC,200C
41,302,200D,323	1EAC,200D
41,302,FE00,323	1EAC,FE00
41,302,FE0F,323	1EAC,FE0F
41,302,34F,323	1EAC,34F
41,302,1F3FB,323	1EAC,1F3FB
41,302,1F3FF,323	1EAC,1F3FF
41,302,E0067,323	1EAC,E0067
61,302,200C,323	1EAD,200C
61,302,200D,323	1EAD,200D
61,302,FE00,323	1EAD,FE00
61,302,FE0F,323	1EAD,FE0F
61,302,34F,323	1EAD,34F
61,302,1F3FB,323	1EAD,1F3FB
61,302,1F3FF,323	1EAD,1F3FF
61,302,E0067,323	1EAD,E0067
4F,302,200C,323	1ED8,200C
4F,302,200D,323	1ED8,200D
4F,302,FE00,323	1ED8,FE00
4F,302,FE0F,323	1ED8,FE0F
4F,302,34F,323	1ED8,34F
4F,302,1F3FB,323	1ED8,1F3FB
4F,302,1F3FF,323	1ED8,1F3FF
4F,302,E0067,323	1ED8,E0067
45,302,200C,323	1EC6,200C
45,302,200D,323	1EC6,200D
45,302,FE00,323	1EC6,FE00
45,302,FE0F,323	1EC6,FE0F
45,302,34F,323	1EC6,34F
45,302,1F3FB,323	1EC6,1F3FB
45,302,1F3FF,323	1EC6,1F3FF
45,302,E0067,323	1EC6,E0067
# --- group 2A: jamo + non-Hangul two-part vowel (616 rows) ---
1113,CC0	1113,CC0
1113,9CB	1113,9CB
1113,BCA	1113,BCA
1113,D4A	1113,D4A
1113,DDC	1113,DDC
1113,1B40	1113,1B40
1113,CC7	1113,CC7
1113,D4C	1113,D4C
1114,CC0	1114,CC0
1114,9CB	1114,9CB
1114,BCA	1114,BCA
1114,D4A	1114,D4A
1114,DDC	1114,DDC
1114,1B40	1114,1B40
1114,CC7	1114,CC7
1114,D4C	1114,D4C
1115,CC0	1115,CC0
1115,9CB	1115,9CB
1115,BCA	1115,BCA
1115,D4A	1115,D4A
1115,DDC	1115,DDC
1115,1B40	1115,1B40
1115,CC7	1115,CC7
1115,D4C	1115,D4C
1116,CC0	1116,CC0
1116,9CB	1116,9CB
1116,BCA	1116,BCA
1116,D4A	1116,D4A
1116,DDC	1116,DDC
1116,1B40	1116,1B40
1116,CC7	1116,CC7
1116,D4C	1116,D4C
1117,CC0	1117,CC0
1117,9CB	1117,9CB
1117,BCA	1117,BCA
1117,D4A	1117,D4A
1117,DDC	1117,DDC
1117,1B40	1117,1B40
1117,CC7	1117,CC7
1117,D4C	1117,D4C
1118,CC0	1118,CC0
1118,9CB	1118,9CB
1118,BCA	1118,BCA
1118,D4A	1118,D4A
1118,DDC	1118,DDC
1118,1B40	1118,1B40
1118,CC7	1118,CC7
1118,D4C	1118,D4C
1119,CC0	1119,CC0
1119,9CB	1119,9CB
1119,BCA	1119,BCA
1119,D4A	1119,D4A
1119,DDC	1119,DDC
1119,1B40	1119,1B40
1119,CC7	1119,CC7
1119,D4C	1119,D4C
111A,CC0	111A,CC0
111A,9CB	111A,9CB
111A,BCA	111A,BCA
111A,D4A	111A,D4A
111A,DDC	111A,DDC
111A,1B40	111A,1B40
111A,CC7	111A,CC7
111A,D4C	111A,D4C
111B,CC0	111B,CC0
111B,9CB	111B,9CB
111B,BCA	111B,BCA
111B,D4A	111B,D4A
111B,DDC	111B,DDC
111B,1B40	111B,1B40
111B,CC7	111B,CC7
111B,D4C	111B,D4C
111C,CC0	111C,CC0
111C,9CB	111C,9CB
111C,BCA	111C,BCA
111C,D4A	111C,D4A
111C,DDC	111C,DDC
111C,1B40	111C,1B40
111C,CC7	111C,CC7
111C,D4C	111C,D4C
111D,CC0	111D,CC0
111D,9CB	111D,9CB
111D,BCA	111D,BCA
111D,D4A	111D,D4A
111D,DDC	111D,DDC
111D,1B40	111D,1B40
111D,CC7	111D,CC7
111D,D4C	111D,D4C
